file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,serverity
167134,5938a81,,13,0,0,0,12,2,0,36,15,0.4,0.47619048,0.47619048,10,0,3,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,215,4,0,2,0,0,0,0,8,0,6,1,5,0,0,107,0,0,normal
169697,a562394,,9.666667,0,0,0,27.333334,2.6666667,0,30,94,0.5181624,0.08888889,0.3660819,13.666667,0,3.3333333,3,7,0.33333334,0,0.33333334,0,0,3,0,0,3,0,0,0,0,0.33333334,117.666664,11.666667,0.33333334,6.6666665,1.6666666,2.3333333,0,3.3333333,16,0.33333334,12,2,1.3333334,0,0,109,353,0,normal
167323,626084f,,22.75,0,0,0,192,3.25,0,87,2160,0.88205844,0.069749534,0.31607682,61.25,0,16.75,9.25,33.75,1.5,0,9.25,0,0,3.5,0.5,0.25,3.25,0,0,0.5,0,1.75,700.25,49.25,20.75,55.75,0.25,14.25,1,54,131.5,9.75,109.75,3.5,5,0.5,0,339,769,0,normal
170827,f3d85f1,,13,0,0,0,63,1,0,34,170,0.9,0.14619882,0.23976608,25,0,17,6,2,0,0,0,0,0,20,2,0,20,0,0,0,0,0,418,19,2,22,0,4,17,9,47,9,29,2,5,1,0,337,1,0,normal
167692,ddf3bd8,,26,0,0,0,103,2,0,107,229,0.9130435,0.15238096,0.2952381,27,0,2,13,3,9,0,0,0,0,23,11,0,9,0,14,5,0,4,472,29,8,24,0,11,16,57,120,12,78,5,5,1,0,216,0,0,normal
169694,a7e94e3,,12,0,0,0,40,2,0,41,235,0.84615386,0.11111111,0.21052632,26,0,4,7,14,1,0,1,0,0,7,0,0,7,0,0,0,0,1,181,15,0,11,1,1,0,4,25,0,18,2,3,0,0,162,1025,0,major
170668,1717123,,10.333333,0,0,0,10.333333,1.6666666,0,4.3333335,57,NaN,-0.16666667,-0.5,7.6666665,6.3333335,7.6666665,0,0,0,0,0,0,0,4,3.3333333,3,1,0,0,3.6666667,0,0,45.333332,7.3333335,0.33333334,0.33333334,0,0.6666667,3,0,5.6666665,0,5.6666665,1.3333334,0,0.33333334,0,33.666668,1,0,enhancement
107443,723518,,13.5,0,0,0,67.4,1.4,0,43.8,552,0.63578206,NaN,NaN,27.1,0.4,18.9,3.4,3.6,1.2,0,1.4,0.1,0,8.6,2.5,2.3,5.4,0.7,0.2,1.4,0,0.8,267.5,19.7,3.7,20.4,0.9,6.8,3.8,10.5,47.9,3.2,38.4,1.8,1.3,0.3,0,189.7,205.8,0,normal
89834,50c842d,,19,0,0,0,41.833332,1.6111112,0,36.944443,226.11111,NaN,0.07411892,3.1793494,19.166666,0.8333333,12.833333,1.7777778,3.0555556,1.5,0,0.6111111,0.5555556,0,14.333333,9.888889,9.111111,4.111111,0.2777778,0.8333333,9.722222,0,1.1666666,190.88889,14.888889,2.2222223,10.888889,2.1666667,1.8888888,13.166667,4.888889,44.72222,0.5,36.72222,1.9444444,1,0.2777778,0,145.33333,171.55556,0,enhancement
169696,056b27b,,12,0,0,0,35,2,0,41,230,0.8628572,0.09150327,0.13725491,25,0,3,7,14,1,0,1,0,0,7,0,0,7,0,0,0,0,1,174,15,0,7,1,1,0,4,25,0,18,2,3,0,0,160,1025,0,normal
29633,c241623,,19,0,0,0,36.714287,2,0,43.714287,103.85714,NaN,NaN,NaN,15.714286,0,8.285714,1.8571428,5.571429,0,0,0,0,0,92.14286,86.57143,84.28571,6.285714,1.5714285,0,2.2857144,0,1.1428572,270.7143,7.428571,3.2857144,11.714286,0.2857143,3.2857144,4.714286,15.428572,52.42857,2.857143,119.71429,2.142857,0.42857143,0.14285715,0,194.28572,3.2857144,0,enhancement
169622,d2a3e9e,,5,0,0,0,5,2,0,4,0,0.25,0.5,0.5,4,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,16,4,0,0,0,0,0,0,1,0,1,1,0,0,0,25,1,0,normal
